datetime,icon,index,rental quantity
2020-09-06,clear-day,2020-09-06,12346
2020-09-20,clear-day,2020-09-20,10646
2020-09-21,clear-day,2020-09-21,7085
2020-09-22,clear-day,2020-09-22,7502
2020-10-03,clear-day,2020-10-03,12111
2020-10-06,clear-day,2020-10-06,7334
2020-10-08,clear-day,2020-10-08,7637
2020-11-04,clear-day,2020-11-04,5543
2020-11-07,clear-day,2020-11-07,14635
2020-11-08,clear-day,2020-11-08,9918
2020-11-16,clear-day,2020-11-16,5324
2020-12-08,clear-day,2020-12-08,3298
2020-12-10,clear-day,2020-12-10,3942
2021-02-25,clear-day,2021-02-25,4181
2021-03-03,clear-day,2021-03-03,4871
2021-03-05,clear-day,2021-03-05,3634
2021-03-07,clear-day,2021-03-07,4291
2021-03-20,clear-day,2021-03-20,8254
2021-03-22,clear-day,2021-03-22,5448
2021-07-20,clear-day,2021-07-20,9540
2021-09-03,clear-day,2021-09-03,11697
2021-10-19,clear-day,2021-10-19,10519
2021-10-20,clear-day,2021-10-20,10744
2021-11-08,clear-day,2021-11-08,9289
2022-01-04,clear-day,2022-01-04,1257
2022-02-09,clear-day,2022-02-09,6370
2022-02-20,clear-day,2022-02-20,4855
2022-05-09,clear-day,2022-05-09,10297
2022-07-11,clear-day,2022-07-11,12882
2022-07-20,clear-day,2022-07-20,13528
2022-08-18,clear-day,2022-08-18,13567
2022-09-01,clear-day,2022-09-01,12778
2022-09-09,clear-day,2022-09-09,14074
2022-09-16,clear-day,2022-09-16,14369
2022-10-09,clear-day,2022-10-09,11985
2022-10-10,clear-day,2022-10-10,11277
2022-10-11,clear-day,2022-10-11,11879
2022-10-15,clear-day,2022-10-15,14396
2022-11-09,clear-day,2022-11-09,11001
2022-11-20,clear-day,2022-11-20,4645
2022-11-21,clear-day,2022-11-21,6522
2022-11-22,clear-day,2022-11-22,7282
2022-11-23,clear-day,2022-11-23,7345
2022-12-25,clear-day,2022-12-25,943
2023-01-15,clear-day,2023-01-15,5308
2023-03-08,clear-day,2023-03-08,8706
2023-03-20,clear-day,2023-03-20,8562
2023-03-30,clear-day,2023-03-30,11684
2023-04-10,clear-day,2023-04-10,12163
2023-04-13,clear-day,2023-04-13,15611
2023-06-01,clear-day,2023-06-01,15507
2023-06-02,clear-day,2023-06-02,15131
2023-08-19,clear-day,2023-08-19,17782
2023-08-20,clear-day,2023-08-20,14915
2023-09-01,clear-day,2023-09-01,16338
2023-09-02,clear-day,2023-09-02,17090
2023-09-15,clear-day,2023-09-15,16915
2023-09-16,clear-day,2023-09-16,18602
2023-10-01,clear-day,2023-10-01,17577
2023-10-23,clear-day,2023-10-23,14365
2023-10-24,clear-day,2023-10-24,16983
2023-11-03,clear-day,2023-11-03,14235
2023-11-13,clear-day,2023-11-13,12633
2023-11-19,clear-day,2023-11-19,11955
2023-11-23,clear-day,2023-11-23,6135
2023-12-14,clear-day,2023-12-14,10791
2023-12-15,clear-day,2023-12-15,11783
2024-01-17,clear-day,2024-01-17,5092
2024-01-21,clear-day,2024-01-21,4171
2024-02-03,clear-day,2024-02-03,11890
2024-02-04,clear-day,2024-02-04,10584
2024-02-06,clear-day,2024-02-06,11107
2024-02-19,clear-day,2024-02-19,9293
2024-02-29,clear-day,2024-02-29,11820
2024-03-24,clear-day,2024-03-24,15422
2024-03-25,clear-day,2024-03-25,14891
2024-05-31,clear-day,2024-05-31,20052
2024-06-22,clear-day,2024-06-22,19020
