datetime,icon,index,rental quantity
2020-05-02,partly-cloudy-day,2020-05-02,9028
2020-05-09,partly-cloudy-day,2020-05-09,2913
2020-05-10,partly-cloudy-day,2020-05-10,5827
2020-05-12,partly-cloudy-day,2020-05-12,3028
2020-05-13,partly-cloudy-day,2020-05-13,4145
2020-05-16,partly-cloudy-day,2020-05-16,9019
2020-05-17,partly-cloudy-day,2020-05-17,5659
2020-05-19,partly-cloudy-day,2020-05-19,3202
2020-05-20,partly-cloudy-day,2020-05-20,3417
2020-05-21,partly-cloudy-day,2020-05-21,3730
2020-05-25,partly-cloudy-day,2020-05-25,8857
2020-05-26,partly-cloudy-day,2020-05-26,4927
2020-05-27,partly-cloudy-day,2020-05-27,4802
2020-05-29,partly-cloudy-day,2020-05-29,5615
2020-05-31,partly-cloudy-day,2020-05-31,7613
2020-06-01,partly-cloudy-day,2020-06-01,5013
2020-06-02,partly-cloudy-day,2020-06-02,5386
2020-06-03,partly-cloudy-day,2020-06-03,6515
2020-06-08,partly-cloudy-day,2020-06-08,7018
2020-06-09,partly-cloudy-day,2020-06-09,6756
2020-06-10,partly-cloudy-day,2020-06-10,5411
2020-06-12,partly-cloudy-day,2020-06-12,7424
2020-06-13,partly-cloudy-day,2020-06-13,12100
2020-06-14,partly-cloudy-day,2020-06-14,10335
2020-06-15,partly-cloudy-day,2020-06-15,6042
2020-06-16,partly-cloudy-day,2020-06-16,6203
2020-06-21,partly-cloudy-day,2020-06-21,9037
2020-06-23,partly-cloudy-day,2020-06-23,6190
2020-06-24,partly-cloudy-day,2020-06-24,7401
2020-06-25,partly-cloudy-day,2020-06-25,6074
2020-06-26,partly-cloudy-day,2020-06-26,8098
2020-06-28,partly-cloudy-day,2020-06-28,8590
2020-06-29,partly-cloudy-day,2020-06-29,6368
2020-06-30,partly-cloudy-day,2020-06-30,6666
2020-07-02,partly-cloudy-day,2020-07-02,7456
2020-07-03,partly-cloudy-day,2020-07-03,8492
2020-07-05,partly-cloudy-day,2020-07-05,7002
2020-07-08,partly-cloudy-day,2020-07-08,6720
2020-07-09,partly-cloudy-day,2020-07-09,6695
2020-07-10,partly-cloudy-day,2020-07-10,7542
2020-07-11,partly-cloudy-day,2020-07-11,10172
2020-07-15,partly-cloudy-day,2020-07-15,7192
2020-07-16,partly-cloudy-day,2020-07-16,7413
2020-07-17,partly-cloudy-day,2020-07-17,7881
2020-07-18,partly-cloudy-day,2020-07-18,9902
2020-07-19,partly-cloudy-day,2020-07-19,7922
2020-07-25,partly-cloudy-day,2020-07-25,11069
2020-07-26,partly-cloudy-day,2020-07-26,8645
2020-07-27,partly-cloudy-day,2020-07-27,6858
2020-07-28,partly-cloudy-day,2020-07-28,7032
2020-07-29,partly-cloudy-day,2020-07-29,7548
