start_station_name,casual_count,member_count
New Hampshire Ave & T St NW,41184,112474
15th & P St NW,37239,103594
Columbus Circle / Union Station,47917,99455
1st & M St NE,45485,84976
5th & K St NW,32081,82243
14th & V St NW,36091,81112
Eastern Market Metro / Pennsylvania Ave & 8th St SE,33487,71440
17th & Corcoran St NW,22092,71097
Massachusetts Ave & Dupont Circle NW,37896,70779
8th & O St NW,31016,70342
11th & M St NW,29599,70164
14th & R St NW,34225,66235
14th & Irving St NW,26334,65347
15th & W St NW,31762,64663
6th & H St NE,26057,60747
Thomas Circle,30698,60726
Adams Mill & Columbia Rd NW,29634,58244
4th & M St SW,30049,58074
18th & New Hampshire Ave NW,21998,54628
18th St & Wyoming Ave NW,29880,54004
California St & Florida Ave NW,21604,51303
New Hampshire Ave & Ward Pl NW,30688,51283
Columbia & Ontario Rd NW,20432,50679
23rd & M St NW,25687,50517
5th St & Massachusetts Ave NW,25484,49342
14th & Belmont St NW,21635,48764
Eckington Pl & Q St NE,20563,46297
18th & R St NW,18438,45841
20th & O St NW / Dupont South,19884,45435
Lamont & Mt Pleasant NW,24103,45400
17th & P St NW,16620,45355
7th & K St NW,25261,45213
8th & H St NW,28889,44876
25th St & Pennsylvania Ave NW,19935,44784
1st & K St NE,20871,44746
22nd & I St NW / Foggy Bottom,17471,44729
3rd & H St NE,22533,44090
37th & O St NW / Georgetown University,23820,44081
11th & Kenyon St NW,24860,43842
17th St & Massachusetts Ave NW,15365,43737
Park Rd & Holmead Pl NW,19099,43542
New Jersey Ave & F St NW,19406,42968
11th & O St NW,19015,42917
7th & F St NW / National Portrait Gallery,30717,42387
1st & Rhode Island Ave NW,20645,42322
Convention Center / 7th & M St NW,20144,41619
New Hampshire Ave & 24th St NW,19462,41561
22nd & P ST NW,19678,41066
17th & K St NW,18803,40967
4th & Florida Ave NE,23279,40789
21st & I St NW,16508,40101
Lincoln Park / 13th & East Capitol St NE ,15246,39940
14th & Q St NW,19511,39877
11th & Girard St NW,16904,39150
Eastern Market / 7th & North Carolina Ave SE,17032,38666
Connecticut Ave & R St NW,18918,38429
M St & Pennsylvania Ave NW,31909,38305
14th & Rhode Island Ave NW,17978,38293
20th St & Florida Ave NW,18101,38123
11th & S St NW,18031,37908
13th & U St NW,18411,37397
12th & L St NW,14780,36803
3rd & M St NE,18589,36680
2nd St & Massachusetts Ave NE,19255,36090
16th & R St NW,13753,35693
Metro Center / 12th & G St NW,22023,35196
2nd & G St NE,14850,35100
3rd & Elm St NW,13890,34936
Columbia Rd & Belmont St NW,15960,34909
1st & I St SE,22186,34490
Maine Ave & 9th St SW,39960,34380
3rd & G St SE,11138,33845
14th & Otis Pl NW,16755,33833
13th & H St NE,16835,33811
18th & M St NW,17229,33650
15th & M St NW,17694,33212
7th & S St NW,13820,33087
7th & R St NW / Shaw Library,15719,33059
Maine Ave & 7th St SW,38651,32704
Wisconsin Ave & O St NW,20786,32589
