datetime,icon,index,rental quantity
2020-05-18,cloudy,2020-05-18,2941
2020-05-24,cloudy,2020-05-24,6339
2020-10-10,cloudy,2020-10-10,11612
2020-10-27,cloudy,2020-10-27,6465
2020-10-28,cloudy,2020-10-28,7183
2020-11-22,cloudy,2020-11-22,5771
2020-11-27,cloudy,2020-11-27,5687
2020-12-18,cloudy,2020-12-18,3209
2020-12-20,cloudy,2020-12-20,3328
2020-12-31,cloudy,2020-12-31,3299
2021-01-06,cloudy,2021-01-06,3112
2021-01-27,cloudy,2021-01-27,3528
2021-02-12,cloudy,2021-02-12,3029
2021-02-14,cloudy,2021-02-14,2364
2021-03-16,cloudy,2021-03-16,3459
2021-03-17,cloudy,2021-03-17,4629
2021-03-25,cloudy,2021-03-25,5364
2021-04-10,cloudy,2021-04-10,11429
2021-10-09,cloudy,2021-10-09,13057
2021-12-17,cloudy,2021-12-17,7789
2021-12-18,cloudy,2021-12-18,6747
2021-12-28,cloudy,2021-12-28,4992
2022-05-25,cloudy,2022-05-25,12048
2022-05-26,cloudy,2022-05-26,11479
2022-07-26,cloudy,2022-07-26,12163
2022-12-12,cloudy,2022-12-12,6548
2023-01-03,cloudy,2023-01-03,7559
2023-01-14,cloudy,2023-01-14,4870
2023-02-02,cloudy,2023-02-02,6789
2023-03-11,cloudy,2023-03-11,7386
2023-05-02,cloudy,2023-05-02,10823
2023-08-24,cloudy,2023-08-24,15526
2023-09-29,cloudy,2023-09-29,16630
2023-09-30,cloudy,2023-09-30,18708
2024-01-24,cloudy,2024-01-24,10485
2024-01-29,cloudy,2024-01-29,9630
2024-01-30,cloudy,2024-01-30,10493
