datetime,icon,index,rental quantity
2020-12-16,snow,2020-12-16,1208
2020-12-17,snow,2020-12-17,2706
2021-01-26,snow,2021-01-26,1997
2021-01-31,snow,2021-01-31,1035
2021-02-01,snow,2021-02-01,973
2021-02-02,snow,2021-02-02,1451
2021-02-07,snow,2021-02-07,2289
2021-02-11,snow,2021-02-11,2241
2021-02-13,snow,2021-02-13,885
2021-02-18,snow,2021-02-18,744
2021-02-19,snow,2021-02-19,2045
2021-02-22,snow,2021-02-22,1548
2021-02-27,snow,2021-02-27,5079
2022-01-03,snow,2022-01-03,497
2022-01-07,snow,2022-01-07,2235
2022-01-16,snow,2022-01-16,1613
2022-01-17,snow,2022-01-17,2583
2022-01-20,snow,2022-01-20,3289
2022-01-28,snow,2022-01-28,3582
2022-01-29,snow,2022-01-29,2721
2022-02-13,snow,2022-02-13,2911
2022-02-24,snow,2022-02-24,3430
2022-02-25,snow,2022-02-25,5653
2022-03-12,snow,2022-03-12,2119
2022-12-15,snow,2022-12-15,2102
2023-02-01,snow,2023-02-01,6886
2023-12-11,snow,2023-12-11,9458
2024-01-06,snow,2024-01-06,3105
2024-01-15,snow,2024-01-15,3037
2024-01-16,snow,2024-01-16,2786
2024-01-19,snow,2024-01-19,2578
2024-01-20,snow,2024-01-20,3798
2024-02-17,snow,2024-02-17,7742
