Unnamed: 0,stations,type,public transportation
0,New Hampshire Ave & T St NW,Work,
1,Columbus Circle / Union Station,Work,
2,15th & P St NW,Work,Bus
3,Lincoln Memorial,Entertainment,Metro
4,1st & M St NE,Entertainment,
5,Jefferson Dr & 14th St SW,Entertainment,
6,4th St & Madison Dr NW,Work,
7,14th & V St NW,Entertainment,Bus
8,5th & K St NW,Work,Bus
9,Massachusetts Ave & Dupont Circle NW,Living,Bus
10,Henry Bacon Dr & Lincoln Memorial Circle NW,Entertainment,Bus
11,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Work,Metro
12,Eastern Market Metro / Pennsylvania Ave & 8th St SE,Entertainment,Metro
13,8th & O St NW,Work,Bus
14,14th & R St NW,Living,Metro
15,11th & M St NW,Living,Bus
16,15th & W St NW,Work,Metro
17,17th & Corcoran St NW,Living,Bus
18,14th & Irving St NW,Entertainment,
19,Thomas Circle,Living,
20,4th & M St SW,Living,Metro
21,Adams Mill & Columbia Rd NW,Work,
22,6th & H St NE,Entertainment,
23,18th St & Wyoming Ave NW,Entertainment,Metro
24,New Hampshire Ave & Ward Pl NW,Work,
25,Jefferson Memorial,Entertainment,Metro
26,18th & New Hampshire Ave NW,Living,Bus
27,23rd & M St NW,Living,
28,5th St & Massachusetts Ave NW,Work,Bus
29,Maine Ave & 9th St SW,Entertainment,
30,8th & H St NW,Work,Bus
31,7th & F St NW / National Portrait Gallery,Entertainment,Metro
32,California St & Florida Ave NW,Entertainment,Metro
33,15th St & Constitution Ave NW,Work,
34,Maine Ave & 7th St SW,Entertainment,Bus
35,Columbia & Ontario Rd NW,Living,Metro
36,17th St & Independence Ave SW,Work,Metro
37,7th & K St NW,Entertainment,Bus
38,14th & Belmont St NW,Entertainment,Metro
39,M St & Pennsylvania Ave NW,Work,Metro
40,Lamont & Mt Pleasant NW,Living,Metro
41,11th & Kenyon St NW,Living,
42,37th & O St NW / Georgetown University,Work,Bus
43,Eckington Pl & Q St NE,Living,Metro
44,3rd & H St NE,Entertainment,Metro
45,1st & K St NE,Living,Metro
46,20th & O St NW / Dupont South,Entertainment,Bus
47,25th St & Pennsylvania Ave NW,Work,Bus
48,18th & R St NW,Entertainment,Bus
49,4th & Florida Ave NE,Entertainment,
50,1st & Rhode Island Ave NW,Entertainment,Bus
51,Constitution Ave & 2nd St NW/DOL,Living,Metro
52,Park Rd & Holmead Pl NW,Entertainment,
53,New Jersey Ave & F St NW,Living,Metro
54,22nd & I St NW / Foggy Bottom,Entertainment,
55,17th & P St NW,Work,Metro
56,11th & O St NW,Work,Metro
57,Convention Center / 7th & M St NW,Entertainment,
58,New Hampshire Ave & 24th St NW,Living,Bus
59,22nd & P ST NW,Living,Metro
60,17th & K St NW,Work,
61,14th & Q St NW,Work,Metro
62,17th St & Massachusetts Ave NW,Entertainment,
63,Connecticut Ave & R St NW,Living,
64,Metro Center / 12th & G St NW,Living,Bus
65,4th & C St SW,Work,Metro
66,1st & I St SE,Entertainment,Bus
67,21st & I St NW,Living,Bus
68,14th & Rhode Island Ave NW,Entertainment,Bus
69,20th St & Florida Ave NW,Entertainment,
70,11th & Girard St NW,Entertainment,Metro
71,11th & S St NW,Living,
72,13th & U St NW,Entertainment,Bus
73,Eastern Market / 7th & North Carolina Ave SE,Living,Bus
74,2nd St & Massachusetts Ave NE,Work,Metro
75,3rd & M St NE,Living,
76,Lincoln Park / 13th & East Capitol St NE ,Living,Metro
77,10th & K St NW,Entertainment,
78,15th St & Pennsylvania Ave NW,Living,Metro
79,Wisconsin Ave & O St NW,Work,
80,Potomac & M St NW,Entertainment,Bus
81,17th & G St NW,Work,
82,12th & L St NW,Living,Bus
83,15th & M St NW,Living,
84,3rd St & Pennsylvania Ave SE,Living,
85,18th & M St NW,Work,
86,Columbia Rd & Belmont St NW,Work,Metro
87,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,Work,Metro
88,13th & H St NE,Entertainment,Bus
89,14th & Otis Pl NW,Living,Metro
90,2nd & G St NE,Work,Metro
91,Washington & Independence Ave SW/HHS,Work,Metro
92,16th & R St NW,Living,Metro
93,Georgetown Harbor / 30th St NW,Living,Metro
94,3rd & Elm St NW,Work,Metro
95,7th & R St NW / Shaw Library,Entertainment,Bus
96,Gravelly Point,Entertainment,
97,1st & M St SE,Entertainment,Metro
98,17th & K St NW / Farragut Square,Work,
99,Vermont Ave & I St NW,Living,Bus
100,10th St & Constitution Ave NW,Entertainment,Bus
101,16th & Harvard St NW,Living,Metro
102,11th & Park Rd NW,Living,Metro
103,Florida Ave & R St NW,Living,
104,Woodley Park Metro / Calvert St & Connecticut Ave NW,Entertainment,Bus
105,7th & S St NW,Work,Metro
106,21st St & G st NW,Entertainment,Bus
107,New Jersey Ave & R St NW,Work,Bus
108,4th & East Capitol St NE,Living,
109,14th & L St NW,Work,
110,Columbia Rd & Georgia Ave NW,Work,Metro
111,3rd & G St SE,Living,Metro
112,M St & Delaware Ave NE,Entertainment,Bus
113,3rd & H St NW,Entertainment,
114,14th & Newton St NW,Living,
115,C & O Canal & Wisconsin Ave NW,Living,Bus
116,10th & E St NW,Work,Bus
117,16th & Irving St NW,Living,Bus
118,D St & Maryland Ave NE,Work,Bus
119,Rhode Island & Connecticut Ave NW,Work,
120,6th St & Indiana Ave NW,Living,Bus
121,1st & D St SE,Entertainment,Metro
122,North Capitol St & F St NW,Entertainment,Metro
123,8th & V St NW,Entertainment,Bus
124,8th & F St NE,Living,Bus
125,Georgia & New Hampshire Ave NW,Entertainment,
126,20th & Columbia Rd NW,Entertainment,
127,Maryland Ave & E St NE,Work,
128,20th & L St NW,Living,Bus
129,15th & Euclid St NW,Living,
130,18th & L St NW,Entertainment,Bus
131,1st & O St NW,Work,Bus
132,14th St & Spring Rd NW,Living,Bus
133,15th & L St NW,Living,Bus
134,34th & Water St NW,Work,
135,Potomac & Pennsylvania Ave SE,Living,Bus
136,4th & M St SE,Work,
137,4th & E St SW,Entertainment,Metro
138,Calvert St & Woodley Pl NW,Work,Bus
139,MBT & Bryant St NE,Entertainment,
140,5th & F St NW,Entertainment,
141,1st & H St NW,Work,
142,New Jersey Ave & N St NW/Dunbar HS,Living,Metro
143,13th & D St NE,Work,Metro
144,10th & U St NW,Entertainment,Bus
145,14th St & Rhode Island Ave NW,Living,Bus
146,Union Market,Entertainment,
147,12th & U St NW,Entertainment,
148,Tanner Park,Work,
149,3rd & Tingey St SE,Work,Bus
150,18th St & Pennsylvania Ave NW,Work,Metro
151,8th & D St NW,Entertainment,
152,Georgia Ave & Morton St NW,Work,Bus
153,L'Enfant Plaza / 7th & C St SW,Entertainment,Bus
154,14th & G St NW,Work,Metro
155,14th & D St SE,Entertainment,
156,14th & Girard St NW,Entertainment,
157,Reservoir Rd & 38th St NW,Entertainment,
158,Massachusetts Ave & 6th St NE,Living,
159,3rd & D St SE,Work,Bus
160,Hains Point/Buckeye & Ohio Dr SW,Work,Bus
161,Virginia Ave & 25th St NW,Entertainment,Metro
162,22nd & H St NW,Entertainment,
163,23rd & E St NW ,Entertainment,
164,24th & N St NW,Living,Metro
165,New York Ave & Hecht Ave NE,Entertainment,Metro
166,1st & K St SE,Living,Bus
167,8th & H St NE,Entertainment,
168,1st & N St SE,Work,Bus
169,6th & K St NE,Entertainment,Bus
170,13th St & New York Ave NW,Living,
171,10th St & Florida Ave NW,Living,
172,Roosevelt Island,Living,Metro
173,4th & G St SW,Work,
174,North Capitol & R St NE,Entertainment,Bus
175,7th & T St NW,Work,
176,10th & G St NW,Entertainment,Bus
177,20th & E St NW,Entertainment,Bus
178,Clarendon Metro / Wilson Blvd & N Highland St,Work,Metro
179,10th St & L'Enfant Plaza SW,Living,
180,34th St & Wisconsin Ave NW,Entertainment,Bus
181,New York Ave & 15th St NW,Work,Metro
182,19th St & Constitution Ave NW,Living,Bus
183,15th & K St NW,Work,Bus
184,1st St & Potomac Ave SE,Living,Metro
185,Wisconsin Ave & Newark St NW,Entertainment,
186,7th St & Massachusetts Ave NE,Work,Bus
187,11th & C St SE,Living,Metro
188,15th St & Massachusetts Ave SE,Entertainment,Bus
189,Independence Ave & L'Enfant Plaza SW/DOE,Entertainment,
190,22nd St & Constitution Ave NW,Entertainment,Metro
191,M St & New Jersey Ave SE,Work,Bus
192,Rosslyn Metro / Wilson Blvd & N Moore St,Work,Metro
193,15th & East Capitol St NE,Work,Metro
194,21st St & Pennsylvania Ave NW,Work,Metro
195,Thomas Jefferson St NW & Water/K St NW,Work,Bus
196,19th & G St NW,Entertainment,Metro
197,14th St & New York Ave NW,Work,Metro
198,9th & Upshur St NW,Work,Metro
199,39th & Calvert St NW / Stoddert,Entertainment,Bus
200,New Jersey Ave & H St SE,Entertainment,Bus
201,12th St & Pennsylvania Ave SE,Work,Metro
202,Eads St & 12th St S,Work,Bus
203,8th & East Capitol St NE,Work,
204,10th & Florida Ave NW,Living,Metro
205,13th & O St NW/ Logan Circle,Entertainment,
206,11th & F St NW,Living,Metro
207,Kennedy Center,Entertainment,
208,Calvert & Biltmore St NW,Entertainment,Bus
209,4th St & K St NW,Work,Bus
210,Court House Metro / 15th St & N Uhle St,Entertainment,Metro
211,14th & Harvard St NW,Entertainment,
212,8th & Eye St SE / Barracks Row,Living,Metro
213,15th & F St NE,Living,Metro
214,USDA / 12th & C St SW,Living,Bus
215,10th & H St NE,Living,Bus
216,3000 Connecticut Ave NW / National Zoo,Work,Metro
217,Fort Totten Metro,Work,
218,Ballston Metro / Stuart St & 9th St N,Living,
219,Pentagon City Metro / 12th St & S Hayes St,Entertainment,Bus
220,8th & K St NE,Entertainment,Metro
221,4th & W St NE,Work,Metro
222,2nd St & Seaton Pl NE,Work,Bus
223,Iwo Jima Memorial / Meade & 14th St N,Entertainment,
224,5th & Morse St NE,Entertainment,Metro
225,14th & D St NW / Ronald Reagan Building,Work,
226,11th & V St NW,Entertainment,Metro
227,11th & Clifton St NW,Living,Metro
228,19th St & Pennsylvania Ave NW,Living,
229,Crystal City Metro / 18th St & S Bell St,Living,Bus
230,Kansas Ave & Sherman Cr NW,Entertainment,Metro
231,1st & Washington Hospital Center NW,Living,Metro
232,Tenleytown / Wisconsin Ave & Albemarle St NW,Living,
233,17th St & Rhode Island Ave NW,Living,
234,9th & G St NW,Entertainment,
235,7th St & Florida Ave NW,Work,Bus
236,Harvard St & Adams Mill Rd NW,Work,Bus
237,Rhode Island Ave Metro,Living,
238,New Jersey Ave & K St NW,Work,Metro
239,Virginia Square Metro / Monroe St & 9th St N,Work,Metro
240,Grant Circle,Work,Bus
241,North Capitol St & G Pl NE,Work,
242,9th St & Pennsylvania Ave NW,Work,
243,Maryland Ave & 17th St NE,Entertainment,
244,7th & E St SW,Living,Metro
245,Crystal Dr & 20th St S,Living,Metro
246,N Lynn St & Fairfax Dr,Work,
247,Crystal Dr & 15th St S,Entertainment,Metro
248,Takoma Metro,Work,Metro
249,Wilson Blvd & N Quincy St,Work,Metro
250,Montello Ave & Holbrook Terr NE,Living,
251,Van Ness Metro / UDC,Entertainment,Metro
252,Edgewood Rec Center,Entertainment,Bus
253,Lynn St & 19th St North,Living,Metro
254,18th & C St NW,Entertainment,Metro
255,4th & D St NW / Judiciary Square,Living,
256,3rd & N St NE,Work,Metro
257,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,Work,Bus
258,Potomac Ave & Half St SW,Work,Bus
259,19th & East Capitol St SE,Living,Metro
260,Half & Water St SW,Work,
261,15th & Euclid St  NW,Work,
262,Clarendon Blvd & Pierce St,Living,Metro
263,Arlington National Cemetery,Work,
264,US Dept of State / Virginia Ave & 21st St NW,Living,Bus
265,13th & E St SE,Living,Metro
266,Crystal Dr & 23rd St S,Work,Bus
267,10th & Monroe St NE,Work,Metro
268,4th St & G St SW,Entertainment,
269,Oklahoma Ave & D St NE,Work,Bus
270,14th St & Colorado Ave NW,Living,Metro
271,12th St & New York Ave NW,Living,
272,Connecticut & Nebraska Ave NW,Work,
273,Prince St & Union St,Living,
274,36th & Calvert St NW / Glover Park,Work,Metro
275,Maine Ave & Water St SW,Work,Metro
276,Potomac Ave & 8th St SE,Work,
277,Hamlin & 7th St NE,Entertainment,
278,24th & R St NE / National Arboretum,Work,Metro
279,Neal St & Trinidad Ave NE,Living,Metro
280,2nd & V St SW / James Creek Marina,Entertainment,Bus
281,Connecticut Ave & Macomb St NW / Cleveland Park,Entertainment,Bus
282,Wilson Blvd & N Quinn St,Living,Bus
283,Wilson Blvd & N Oak St,Entertainment,Bus
284,14th & Upshur St NW,Work,
285,15th St & New York Ave NW,Entertainment,
286,American University East Campus,Work,Metro
287,3rd & M St SE,Work,
288,King Greenleaf Rec Center,Living,Bus
289,19th & I St NW,Work,Metro
290,Market Square / King St & Royal St,Living,Bus
291,Mt Vernon Trail & S. Washington St.,Living,Metro
292,Wilson Blvd & N Edgewood St,Living,Metro
293,19th & K St NW,Living,Metro
294,Rhode Island Ave & V St NE,Entertainment,Metro
295,Connecticut Ave & Tilden St NW,Work,Metro
296,Wilson Blvd & N Uhle St,Work,
297,Eads St & 15th St S,Entertainment,Metro
298,New Hampshire & Gallatin St NW,Work,Bus
299,Langston Blvd & N Adams St,Work,
300,1st & L St NW,Living,Bus
301,Clarendon Blvd & N Fillmore St,Entertainment,Metro
302,39th & Veazey St NW,Living,
303,National Harbor Carousel,Living,Bus
304,15th St & N Scott St,Living,Metro
305,Georgia & Missouri Ave NW,Work,Bus
306,Hardy Rec Center,Living,Bus
307,Bladensburg Rd & Benning Rd NE,Work,Metro
308,Eads St & 22nd St S,Living,
309,Joyce St & 16th St S,Living,
310,King St Metro North / Cameron St,Entertainment,Metro
311,Braddock Rd Metro South,Living,Metro
312,Bethesda Ave & Arlington Rd,Work,Metro
313,Rosedale Rec Center,Entertainment,
314,Washington Blvd & 10th St N,Living,
315,Anacostia Park,Entertainment,
316,Army Navy Dr & S Joyce St,Entertainment,Bus
317,Fairfax Dr & Wilson Blvd,Living,Bus
318,S Glebe Rd & Potomac Ave,Work,Bus
319,20th St & Virginia Ave NW,Entertainment,Metro
320,North Capitol & K St NE,Living,Metro
321,Park Pl & Rock Creek Church Rd NW,Living,Bus
322,Georgia Ave & Fairmont St NW,Work,
323,14th & D St NW / John A Wilson Building,Entertainment,Bus
324,Woodmont Ave & Strathmore St,Entertainment,
325,7th & Monroe St NE,Living,Bus
326,21st St & Constitution Ave NW,Work,Metro
327,4th & O St SW,Living,Metro
328,12th & Irving St NE,Living,Bus
329,East Falls Church Metro / Sycamore St & 19th St N,Entertainment,
330,Stadium Armory Metro,Living,
331,Fairfax Dr & N Randolph St,Living,
332,Wisconsin Ave & Brandywine St NW,Living,Metro
333,N Veitch St & 20th St N,Living,Bus
334,Main Line Blvd & E Glebe,Work,
335,Ward Circle / American University,Living,
336,Wilson Blvd & N Franklin Rd,Living,
337,River Rd & Landy Ln,Living,
338,Arlington Blvd & Ft Myer Dr,Work,Metro
339,Connecticut Ave & Yuma St NW,Work,Bus
340,1st & N St  SE,Entertainment,
341,Madison St & Fairfax St,Work,Bus
342,Potomac Ave & Swann Ave,Work,Bus
343,Kingman Island/The Fields at RFK,Entertainment,
344,21st & E St NW,Entertainment,Bus
345,Crystal Dr & 27th St S,Living,
346,Wilson Blvd & N Troy St,Entertainment,
347,Central Library / Quincy St & 10th St N,Work,
348,S Arlington Mill Dr & Campbell Ave,Entertainment,Bus
349,John McCormack Dr & Michigan Ave NE,Entertainment,
350,19th St N & Ft Myer Dr,Living,
351,Pentagon Row Plaza / Army Navy Dr & Joyce St,Work,
352,17th St & New York Ave NW,Work,Metro
353,West Hyattsville Metro,Living,
354,Connecticut Ave & Newark St NW / Cleveland Park,Entertainment,
355,11th & H St NE,Work,Metro
356,Anacostia Ave & Benning Rd NE / River Terrace ,Work,Metro
357,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,Entertainment,
358,Gallaudet / 8th St & Florida Ave NE,Entertainment,Metro
359,5th & Kennedy St NW,Work,Metro
360,21st St & N Pierce St,Work,Bus
361,11th & V st NW,Work,
362,Trinidad Rec Center,Living,Bus
363,9th & N St NW ,Entertainment,Bus
364,Wilson Blvd & Ft Myer Dr,Living,Bus
365,Wisconsin Ave & Rodman St NW,Work,
366,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Entertainment,Bus
367,17th & Upshur St NW,Entertainment,
368,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,Work,Bus
369,10th St & Spring Rd NW,Entertainment,Metro
370,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,Living,Metro
371,1st & Q St SW,Living,
372,Langston Blvd & N Scott St,Entertainment,Metro
373,Waterfront Park,Living,
374,Connecticut Ave & McKinley St NW,Entertainment,Bus
375,John McCormack Rd NE,Entertainment,
376,Arlington Blvd & Fairfax Dr,Entertainment,Bus
377,Potomac Ave & 35th St S,Living,Metro
378,14th St Heights / 14th & Crittenden St NW,Work,Bus
379,Oklahoma Ave & Benning Rd NE,Entertainment,Bus
380,Aurora Hills Cmty Ctr / 18th St & S Hayes St,Entertainment,Metro
381,Battery Ln & Trolley Trail,Living,
382,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,Living,Bus
383,King St & Patrick St,Living,Metro
384,48th Pl & MacArthur Blvd NW,Work,Bus
385,National Airport,Work,Bus
386,King St & N Pitt St,Work,
387,Langston Blvd & N Cleveland St,Work,Bus
388,Friendship Blvd & Willard Ave,Living,Metro
389,Capitol Ave & Kendall St NE,Entertainment,Bus
390,12th & Newton St NE,Living,Bus
391,19th & E Street NW,Entertainment,Metro
392,King St Metro South,Work,Metro
393,Georgia Ave & Piney Branch Rd NW,Living,
394,N Quincy St & Glebe Rd,Entertainment,Bus
395,Fenton St & Ellsworth Dr ,Entertainment,Metro
396,Carlin Springs Rd & N Thomas St,Living,
397,Royal St & Wilkes St,Living,Metro
398,Rhodes St & 16th St N,Living,
399,Commonwealth and Reed,Work,
400,Eisenhower Ave & Mill Race Ln,Work,Bus
401,Monroe Ave & Leslie Ave,Living,Metro
402,George Mason Dr & Wilson Blvd,Work,Metro
403,Washington-Liberty High School / N Stafford St & Generals Way,Work,Metro
404,28th St & S Meade St,Work,
405,Glebe Rd & 11th St N,Entertainment,
406,3rd St & Riggs Rd NE,Work,
407,N Pitt St & Montgomery St,Living,Bus
408,Georgia Ave & Kennedy St NW,Work,
409,3rd & Underwood St NW,Living,Metro
410,Mount Vernon Ave & E Del Ray Ave,Work,Metro
411,Saint Asaph St & Madison St,Entertainment,
412,Potomac Greens Dr & Slaters Ln,Work,Bus
413,Kansas Ave & Longfellow St NW,Entertainment,Bus
414,Mount Vernon Ave & E Nelson Ave,Entertainment,
415,Prince George's Plaza Metro,Entertainment,Bus
416,Washington Blvd & Walter Reed Dr ,Work,Metro
417,Wisconsin Ave & Ingomar St NW,Entertainment,Metro
418,Franklin St & S Washington St,Work,Bus
419,GMU/Fairfax Dr & Kenmore St,Work,Metro
420,S Clark St & 33rd St,Work,Bus
421,23rd St S & Hayes St,Work,Metro
422,Carroll & Ethan Allen Ave,Living,Bus
423,Columbia Pike & S Courthouse Rd,Living,Bus
424,9th & Ingraham St NW,Living,Bus
425,Georgia Ave & Emerson St NW,Work,
426,Potomac Ave & Main Line Blvd,Work,
427,Long Bridge Aquatic Center,Work,Bus
428,Columbia Pike & S Walter Reed Dr,Entertainment,Metro
429,Arlington Blvd & Fillmore St,Work,Metro
430,Rhode Island & Montana Ave NE,Work,
431,10th & Quincy St NE / Turkey Thicket Rec,Work,Metro
432,Duke St & John Carlyle St,Living,Bus
433,St Asaph & Pendleton St,Work,Metro
434,Rolfe St & 9th St S,Living,
435,Carroll & Westmoreland Ave,Living,Metro
436,Anacostia Metro,Work,Bus
437,Commerce St & Fayette St,Work,
438,Old Georgetown Rd & Southwick St,Work,
439,Fairfax Dr & N Taylor St,Living,Metro
440,Arlington Blvd & N Queen St,Living,Metro
441,3rd & M st SE,Living,
442,Ballenger Ave & Dulaney St,Living,
443,Kennebec St & 11th St N,Living,Metro
444,Norfolk Ave & Fairmont St,Entertainment,Bus
445,Mount Vernon Ave & Four Mile Run Park,Work,
446,Riverdale Park Town Center,Work,Bus
447,Washington Blvd & 7th St N,Entertainment,Bus
448,Silver Spring Metro / Colesville Rd & Wayne Ave,Work,
449,Mount Vernon Ave & Kennedy St,Work,Bus
450,Cordell & Norfolk Ave,Living,
451,Powhatan St & Bashford Ln,Entertainment,Metro
452,Clark St & 26th St S,Entertainment,
453,Fessenden St & Wisconsin Ave NW,Work,Bus
454,Barton St & 10th St N,Work,Metro
455,14th & Quincy St NW,Living,Metro
456,Wilson Blvd & N Illinois St ,Entertainment,
457,Baltimore Ave & Van Buren St / Riverdale Park Station,Living,Metro
458,15th & Harvard St NW,Entertainment,
459,East West Hwy & Blair Mill Rd,Living,
460,Georgia Ave and Fairmont St NW,Entertainment,Metro
461,Arlington Blvd & S George Mason Dr,Living,
462,N Veitch St & Key Blvd,Work,
463,Chillum Rd & Riggs Rd / Riggs Plaza,Entertainment,
464,Yuma St & Tenley Circle NW,Entertainment,Metro
465,31st & Water St NW,Living,Bus
466,4th & College St NW,Entertainment,Metro
467,Virginia Ave & C St NW,Entertainment,
468,Columbia Pike & S Orme St,Entertainment,Metro
469,Long Bridge Park / Long Bridge Dr & 6th St S,Work,Bus
470,18th St & Rhode Island Ave NE,Work,
471,Dunn Loring Metro,Living,Bus
472,Braddock Rd Metro North,Living,
473,Georgia Ave & Dahlia St NW,Work,Bus
474,Barcroft Community Center,Entertainment,Metro
475,Braddock Rd Metro,Living,Bus
476,Good Hope Rd & MLK Ave SE,Work,Metro
477,Baltimore Ave & Jefferson St,Work,Metro
478,Tanger Outlets,Work,Metro
479,Fenton St & New York Ave ,Living,
480,Langston Blvd & N Monroe St,Living,
481,Fenton St & Gist Ave,Work,Metro
482,First St & Fayette St,Work,Metro
483,WAU / Flower Ave & Division St,Entertainment,
484,Offutt Ln & Chevy Chase Dr,Living,Metro
485,Medical Center Metro ,Living,
486,10th St & Rhode Island Ave NE,Work,Bus
487,Henry St & Pendleton St,Living,
488,The Mall at Prince Georges,Entertainment,Metro
489,Fleet St & Waterfront St,Entertainment,Metro
490,Wilson Blvd. & N. Vermont St.,Living,Bus
491,Anacostia Roller Skating Pavillion,Living,Metro
492,Anacostia Roller Skating Pavilion,Entertainment,Bus
493,N Pershing Dr & N Wayne St,Entertainment,
494,14th St & Luzon Ave NW,Living,Bus
495,16th & K St NW/BLM Plaza,Entertainment,Bus
496,Commonwealth Ave & E Monroe Ave,Living,
