station_name,start_count,start_member_count,start_casual_count,end_count,end_member_count,end_casual_count,avg_lat,avg_lng,type,public transportation
 S Scott St & 13th St S,429,244,185,428,243,185,38.86286049838345,-77.07716125084421,Work,Metro
10th & E St NW,43545,22148,21397,48325,25780,22545,38.89591883215938,-77.02605099118482,Work,Bus
10th & Florida Ave NW,25539,18675,6864,25383,18272,7111,38.92038527052559,-77.02566962503305,Living,Metro
10th & G St NW,31089,19004,12085,39366,24070,15296,38.89825473243357,-77.02623824381607,Entertainment,Bus
10th & H St NE,23583,15998,7585,24171,16142,8029,38.899980604777184,-76.99272371125818,Living,Bus
10th & K St NW,54363,31806,22557,54748,31611,23137,38.90241095511882,-77.02622502698395,Entertainment,
10th & Monroe St NE,16049,9535,6514,13067,8086,4981,38.93247189322038,-76.99332485351812,Work,Metro
10th & Quincy St NE / Turkey Thicket Rec,5601,3570,2031,5474,3469,2005,38.937841371339104,-76.99351239997941,Work,Metro
10th & Rhode Island Ave NE,1,0,1,1,1,0,38.92250276563467,-76.99270573214467,Living,Metro
10th & U St NW,37554,25454,12100,37588,24753,12835,38.91720185388705,-77.02590276601234,Entertainment,Bus
10th St & Constitution Ave NW,47491,16104,31387,51596,18040,33556,38.89302612557974,-77.02601255538718,Entertainment,Bus
10th St & Florida Ave NW,32264,23931,8333,30976,22271,8705,38.920389754795586,-77.0256701699991,Living,
10th St & L'Enfant Plaza SW,30222,7785,22437,28748,9866,18882,38.884330736344005,-77.02599943449489,Living,
10th St & Rhode Island Ave NE,3937,2465,1472,3601,1891,1710,38.9224856584886,-76.99271565216026,Work,Bus
10th St & Spring Rd NW,8185,5629,2556,6181,4251,1930,38.93620038293032,-77.02715830743571,Entertainment,Metro
11th & C St SE,27846,20456,7390,27553,20556,6997,38.88591283964537,-76.99148306581469,Living,Metro
11th & Clifton St NW,21477,16074,5403,16171,12537,3634,38.92225120072626,-77.02710070448248,Living,Metro
11th & F St NW,25311,15004,10307,30428,17817,12611,38.89784257988248,-77.02699564213434,Living,Metro
11th & Girard St NW,56054,39150,16904,47968,35407,12561,38.92559676694934,-77.02711288644167,Entertainment,Metro
11th & H St NE,9212,6179,3033,9437,6113,3324,38.89997885340733,-76.99139033778627,Work,Metro
11th & Kenyon St NW,68702,43842,24860,46835,32091,14744,38.929464179753076,-77.02782345313996,Living,
11th & M St NW,99763,70164,29599,97127,70036,27091,38.905584451390546,-77.02730699901576,Living,Bus
11th & O St NW,61932,42917,19015,56157,39037,17120,38.90841077110336,-77.02710796528686,Work,Metro
11th & Park Rd NW,47462,30874,16588,39278,26749,12529,38.93133938772111,-77.02824465701079,Living,Metro
11th & S St NW,55939,37908,18031,53992,37448,16544,38.913679432433,-77.0270711629315,Living,
11th & V St NW,21506,15231,6275,20855,14898,5957,38.918197182474216,-77.0271399083819,Entertainment,Metro
11th & V st NW,8763,6385,2378,7308,5334,1974,38.91819583533523,-77.0271493091237,Work,
12th & Irving St NE,10754,6676,4078,10095,6243,3852,38.92864051216976,-76.9909599090082,Living,Bus
12th & L St NW,51583,36803,14780,50244,35714,14530,38.90381310407459,-77.028407369792,Living,Bus
12th & Newton St NE,6765,4161,2604,6336,4024,2312,38.93368575024426,-76.99104024301407,Living,Bus
12th & U St NW,36311,24505,11806,33639,22936,10703,38.9167866409228,-77.02813386131417,Entertainment,
12th & Varnum St NE,1403,815,588,1283,776,507,38.94356732609514,-76.99015342834352,Work,
12th St & New York Ave NW,15849,9741,6108,17567,10616,6951,38.90111174289589,-77.0280595616548,Living,
12th St & Pennsylvania Ave SE,25876,18653,7223,25415,18310,7105,38.88249720614212,-76.99012524068382,Work,Metro
12th St N & N Pierce St,1765,979,786,1668,878,790,38.88765980949934,-77.0759125806255,Living,Bus
1301 McCormick Dr / Wayne K. Curry Admin Bldg,404,69,335,395,64,331,38.90836805775619,-76.84354024376236,Work,Metro
13th & D St NE,37726,27952,9774,35951,26851,9100,38.894833597941755,-76.98763873551825,Work,Metro
13th & E St SE,16152,11369,4783,15549,11363,4186,38.88291812816267,-76.98790667644877,Living,Metro
13th & H St NE,50646,33811,16835,52264,34383,17881,38.90043809416636,-76.98825632262142,Entertainment,Bus
13th & O St NW/ Logan Circle,25356,17758,7598,24266,17594,6672,38.90874792415754,-77.029775190229,Entertainment,
13th & U St NW,55808,37397,18411,55310,36207,19103,38.916915971581574,-77.02963505299728,Entertainment,Bus
13th St & Eastern Ave,3228,2113,1115,2705,1723,982,38.98696913196865,-77.02941114529308,Work,Bus
13th St & New York Ave NW,32667,20256,12411,36984,23201,13783,38.9002854158343,-77.0298354197342,Living,
14th & Belmont St NW,70399,48764,21635,67041,46648,20393,38.92106713796939,-77.03187067050897,Entertainment,Metro
14th & D St NW / John A Wilson Building,11022,6217,4805,12295,6737,5558,38.89451940947406,-77.03161818096339,Entertainment,Bus
14th & D St NW / Ronald Reagan Building,21549,10260,11289,26083,11766,14317,38.894515487606114,-77.03161791245462,Work,
14th & D St SE,34673,26209,8464,34352,25589,8763,38.88406045869961,-76.98635563534974,Entertainment,
14th & G St NW,34708,19360,15348,40058,21117,18941,38.89823565440406,-77.03202307512703,Work,Metro
14th & Girard St NW,34622,25470,9152,26552,21160,5392,38.92529548875227,-77.0323619519647,Entertainment,
14th & Harvard St NW,24363,17735,6628,17296,12667,4629,38.926786200133876,-77.03219938395618,Entertainment,
14th & Irving St NW,91681,65347,26334,74469,53797,20672,38.928573869108504,-77.03222919471102,Entertainment,
14th & L St NW,45197,29831,15366,46193,30408,15785,38.90366490959527,-77.03173669506799,Work,
14th & Luzon St NW,3116,1795,1321,2979,1657,1322,38.9694853514347,-77.03349676542786,Work,
14th & Newton St NW,43951,29112,14839,34047,23581,10466,38.931997290741705,-77.03296444596342,Living,
14th & Otis Pl NW,50588,33833,16755,34184,23015,11169,38.934378949679854,-77.03268212164579,Living,Metro
14th & Q St NW,59388,39877,19511,61111,40070,21041,38.91069452860219,-77.03188106152291,Work,Metro
14th & Quincy St NW,4795,3276,1519,4852,3246,1606,38.938017907418356,-77.03265912909913,Living,Metro
